title,region,number_of_rooms,quadrat,date,price
Banes komode me qira ne Mati 1,Prishtine,1,63m 2,10/07/2023,200 €
Banes me qira ne Tophane 2+1,Prishtine,2,75m 2,10/07/2023,270 €
Banese moderne me qira ne Ulpiane,Prishtine,2,85m 2,10/07/2023,300 €
Super Oferte 2+1--350 ne ulpiane,Prishtine,2,70m 2,10/07/2023,350 €
Banes me qira ne Qender mobiluar,Prishtine,2,70m 2,10/07/2023,330 €
Banes moderne me qira ne Mati 1,Prishtine,2,75m 2,10/07/2023,280 €
Banes komode me qira ne Breg te Diellit,Prishtine,1,65m 2,10/07/2023,350 €
Banese me qira ne Mati 1 ndertim i ri,Prishtine,1,45m 2,10/07/2023,250 €
Banes me qira ne Emshir (banesat e arabve),Prishtine,1,50m 2,10/07/2023,200 €
Super ofert Banes me qira ne Mati 1 100m2-250,Prishtine,2,100m 2,10/07/2023,250 €
Banese komode me qira ne Breg te Diellit,Prishtine,1,55m 2,10/07/2023,250 €
Banes me qira ne Qender ndertim i ri,Prishtine,2,75m 2,10/07/2023,300 €
Banes me qira ne Dardani komode,Prishtine,1,65m 2,10/07/2023,300 €
Banese me qira ne Lagje te Spitalit 2+1,Prishtine,2,75m 2,10/07/2023,250 €
Banes me qira ne Lagje te Spitalit 2+1,Prishtine,2,75m 2,10/07/2023,220 €
Banese komode me qira ne Breg te Diellit,Prishtine,1,55m 2,10/07/2023,230 €
Banes me qira ne Ulpiane 2+1,Prishtine,2,75m 2,10/07/2023,300 €
Banes moderne me qira ne Emshir,Prishtine,2,90m 2,10/07/2023,400 €
Banes komode me qira ne Dardani,Prishtine,1,60m 2,10/07/2023,300 €
Banes me qira ne Ulpiane e renovuar,Prishtine,1,65m 2,10/07/2023,250 €
Banes ekskluzive me qira te Parku i Qytetit,Prishtine,2,95m 2,10/07/2023,700 €
Banes komode me qira ne Ulpiane,Prishtine,1,55m 2,10/07/2023,270 €
Banes me qira ne Dardani,Prishtine,1,55m 2,10/07/2023,250 €
Banes me qira ne Lagje te Spitalit 2+1,Prishtine,2,75m 2,10/07/2023,230 €
Banes komode me qira ne Lagje te Spitalit,Prishtine,1,60m 2,10/07/2023,200 €
Banes me qira te 4Llullat,Prishtine,1,65m 2,10/07/2023,250 €
Ektsra banese me qira,Prishtine,2,70m 2,10/07/2023,350 €
Banes me qira ne Ulpiane per zyre,Prishtine,1,65m 2,10/07/2023,400 €
Banese me qira ne Lagje te Muhaxhereve,Prishtine,1,50m 2,10/07/2023,250 €
Banes me qira ne Qender afer shkolles Sami Frasheri 2+1,Prishtine,2,75m 2,10/07/2023,200 €
