,title,region,number_of_rooms,quadrat,price,date,Neighborhood
218,Leshohet banese me qira te Bregu i Diellit,Prishtine,1,64m 2,190 €,10/07/2023,Kodra e Diellit
219,Leshohet banese me qira ne Emshir,Prishtine,1,55m 2,250 €,10/07/2023,Kalabria
220,Leshohet banese me qira ne Ulpiane 2+1,Prishtine,2,60m 2,300 €,10/07/2023,Ulpiana
221,Leshohet banese me qira ne Ulpiane 2+1,Prishtine,2,60m 2,300 €,10/07/2023,Ulpiana
222,Leshohet banese me qira ne Ulpiane,Prishtine,2,67m 2,280 €,10/07/2023,Ulpiana
223,Banese me qira ne Breg te Diellit,Prishtine,1,54m 2,200 €,10/07/2023,Kodra e Diellit
224,Banese me qira ne Dardani 2+1,Prishtine,2,70m 2,350 €,10/07/2023,Dardania
225,Banese me qira ne Aktash,Prishtine,2,86m 2,250 €,10/07/2023,Aktash
226,Leshohet banese me qira ne Bregun e Diellit,Prishtine,1,65m 2,200 €,10/07/2023,Kodra e Diellit
227,Banese me qira ne Dardani ( te Santea ),Prishtine,2,80m 2,270 €,10/07/2023,Dardania
228,Ekstra banese me qira te Sllovenia Sporti,Prishtine,2,130m 2,500 €,10/07/2023,Sllovenia e Sportit
229,Banese me qira ne Arberi 1+1,Prishtine,1,65m 2,280 €,10/07/2023,Arbëria (Dragodani)
230,Banese me qira ne Lagjen e Muhagjerve 1+1,Prishtine,1,61m 2,300 €,10/07/2023,Lagjja e Muhaxherëve
231,Super Banese me qera ne Arberi,Prishtine,1,55m 2,280 €,10/07/2023,Arbëria (Dragodani)
232,Banes me qira ne Emshir e pa banuar me pare,Prishtine,2,75m 2,350 €,10/07/2023,Kalabria
233,Banese me qira e renovuar ne Dardani,Prishtine,2,75m 2,250 €,10/07/2023,Dardania
234,Banes me qira ne Mati 1,Prishtine,2,75m 2,350 €,10/07/2023,Ulpiana 1
235,Banese komode me qira ne Dardani,Prishtine,1,65m 2,200 €,10/07/2023,Dardania
236,Banese me qira te Sllovenia Sporti 2+1,Prishtine,2,75m 2,350 €,10/07/2023,Sllovenia e Sportit
237,Banes me qira ne Dardani,Prishtine,1,65m 2,290 €,10/07/2023,Dardania
238,Banes komode me qira ne Mati 1,Prishtine,1,63m 2,200 €,10/07/2023,Ulpiana 1
239,Banes me qira ne Tophane 2+1,Prishtine,2,75m 2,270 €,10/07/2023,Tophane
240,Banese moderne me qira ne Ulpiane,Prishtine,2,85m 2,300 €,10/07/2023,Ulpiana
241,Super Oferte 2+1--350 ne ulpiane,Prishtine,2,70m 2,350 €,10/07/2023,Ulpiana
242,Banes me qira ne Qender mobiluar,Prishtine,2,70m 2,330 €,10/07/2023,Qendra
243,Banes moderne me qira ne Mati 1,Prishtine,2,75m 2,280 €,10/07/2023,Ulpiana 1
244,Banes komode me qira ne Breg te Diellit,Prishtine,1,65m 2,350 €,10/07/2023,Kodra e Diellit
245,Banese me qira ne Mati 1 ndertim i ri,Prishtine,1,45m 2,250 €,10/07/2023,Ulpiana 1
246,Banes me qira ne Emshir (banesat e arabve),Prishtine,1,50m 2,200 €,10/07/2023,Kalabria
247,Super ofert Banes me qira ne Mati 1 100m2-250,Prishtine,2,100m 2,250 €,10/07/2023,Ulpiana 1
248,Banese komode me qira ne Breg te Diellit,Prishtine,1,55m 2,250 €,10/07/2023,Kodra e Diellit
249,Banes me qira ne Qender ndertim i ri,Prishtine,2,75m 2,300 €,10/07/2023,Qendra
250,Banes me qira ne Dardani komode,Prishtine,1,65m 2,300 €,10/07/2023,Dardania
251,Banese me qira ne Lagje te Spitalit 2+1,Prishtine,2,75m 2,250 €,10/07/2023,Lagjen e Spitalit
